crowd_group,n,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
crowded,5,0.7606273095066005,0.6284354828239099,0.4912836584094505,0.4420336598487988,0.29053983178377146,0.9954714737883309,0.005883630258167514
medium,5,0.7911274844005325,0.6829832743128996,0.24838545466100165,0.09936630219909028,0.22432651430026124,0.9853790102307929,0.019447429551197225
sparse,6,0.7753299430514119,0.6481921005845961,0.5406654356562934,0.4633724281984553,0.30166051132440835,0.9958974207864874,0.0046797368836954826
