sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage,median_nn_distance,crowd_group
test_000000,0.9342873404341816,0.876678466796875,0.24556714839178084,0.04895052103304952,0.22808682300451136,0.988090743147825,0.013910464625945218,12.993135929107666,medium
test_000001,0.878739403064236,0.7837066650390625,0.23831851595545606,0.04017684175738074,0.22269786188698054,0.983629398692845,0.016997421815465805,12.91505241394043,medium
test_000002,0.9025849929591632,0.8224645983227167,0.26108906786687197,0.06966579856354907,0.2369854911102606,0.9847065928882482,0.025562744616581246,13.19238567352295,medium
test_000003,0.7674947811859403,0.622711181640625,0.2645015269967088,0.07971444731962704,0.21156282941762575,0.9756820072567158,0.03779331058318704,13.214962482452393,medium
test_000004,0.8264976319017306,0.7042999267578125,0.5895760105448155,0.5101079162344875,0.23171733771569433,0.9955840175990844,0.005752518070726887,12.585553169250488,crowded
test_000005,0.5276431264455217,0.35836632811155106,0.25863236289776576,0.19877537689377775,0.18828139975719366,0.9962753453076189,0.005419664936845215,10.993452548980713,crowded
test_000006,0.8032328767123288,0.6711689025227783,0.5759025246018475,0.4984176190931406,0.2466808814337706,0.9962553171147764,0.0034177944300557094,14.423971176147461,sparse
test_000007,0.547531619747042,0.37696629213483146,0.31351553725196557,0.18004351252809578,0.18492239737161204,0.9958283333739595,0.005204094760058095,13.296302795410156,sparse
test_000008,0.4725309043591412,0.309355459765219,0.23245101409419044,0.258323902321845,0.22229956608192805,0.9947863091683301,0.00297320611480682,13.01529598236084,medium
test_000009,0.7456433828877317,0.594442898228036,0.48952865115765043,0.4432824178347512,0.2718800054221084,0.996542327885265,0.0036873334743169795,14.103310108184814,sparse
test_000010,0.8717224756821899,0.772613525390625,0.5887215402439501,0.5694186794786847,0.37348785217631275,0.9960575566923379,0.00490672779520382,12.792244911193848,crowded
test_000011,0.7423266898579692,0.5902380879611235,0.47161220845431373,0.4701185498194129,0.35254095767408034,0.9960338492647149,0.005211572780453701,12.391801834106445,crowded
test_000012,0.9456730730553566,0.8969448174826029,0.7482131917500511,0.6647225429141332,0.5811250798163923,0.9973684538351042,0.004906604626498266,17.859949111938477,sparse
test_000013,0.8349466236455917,0.7166595458984375,0.5478761699064075,0.4617477768176311,0.30667161159557627,0.9934066000778987,0.008127667707607948,12.778343200683594,crowded
test_000014,0.7723586435819094,0.6291402937380938,0.5360053403053987,0.46501575932874306,0.2654511909583528,0.9942979073900492,0.005669574855444686,13.665582656860352,sparse
test_000015,0.837540062324103,0.7204893994012342,0.5808273688708472,0.5287527174918683,0.25990351294421415,0.9950921851197707,0.0051930191557991645,13.823454856872559,sparse
