crowd_group,n,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
crowded,5,0.7607252888447299,0.6285273673549007,0.4900557936392369,0.4459410421190288,0.2906122701035449,0.9955027733298427,0.0061611930523149715
medium,5,0.7911572901830703,0.6830100420152407,0.24932142988556985,0.09538961884238172,0.22430597614268843,0.981018520938651,0.02258937068181046
sparse,6,0.7753782369338672,0.6482383570054071,0.541171062828918,0.4607510753161497,0.3016052157818875,0.9960801221993965,0.004754537633157622
