crowd_group,n,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
crowded,5,0.9218329673371237,0.8579033207539503,0.6928842790892427,0.6582865401658802,0.7882229970311714,0.9963859227799536,0.006915298333239013
medium,5,0.7794938971482571,0.6424836580968231,0.31027249579957716,0.16069659532525282,0.5147426663731126,0.9885804908861294,0.01853831245506676
sparse,6,0.9342118101176085,0.8778322114448477,0.750562430750472,0.716450615771946,0.7902084357339536,0.9966614522768348,0.004775958447950888
